German,English,Type,Attributes
kommen,come,Verb,1/4 - komme kommst kommt kommen kommt kommen
dürfen,may,Verb,4/4 - darf darfst darf dürfen dürft dürfen
Guten Tag!,Good afternoon!,Phrase,3/4 -
Auf Wiedersehen.,See you again.,Phrase,4/5 -
"Zum Bahnhof, bitte.","To the train station, please",Phrase,3/4 -
"Zum Flughafen, bitte.","To the airport, please.",Phrase,2/4 -
"Zur Post, bitte.","To the Post office, please.",Phrase,2/5 -
Gern.,Gladly.,Phrase,2/4 -
Das macht 10 Euro,This costs 10 Euro.,Phrase,0/6 -
"Hier, bitte.","Here, please.",Phrase,1/5 -
Danke.,Thanks.,Phrase,2/4 -
Entschuldigung.,Excuse me.,Phrase,0/4 -
Wann fährt ein Zug nach London ab?,When does a train to London depart?,Phrase,4/4 -
Um elf Uhr.,At eleven o'clock.,Phrase,1/5 -
Um fünf vor elf.,At five to eleven.,Phrase,1/4 -
Um zehn nach elf.,At ten past eleven.,Phrase,0/4 -
Gleis sechs.,Track six.,Phrase,0/4 -
"Wie spät ist es, bitte?","What time is it, please?",Phrase,1/4 -
Es ist zehn Uhr.,It is ten o'clock.,Phrase,2/4 -
Danke schön.,Thank you.,Phrase,1/4 -
Das ist aber sehr nett.,But that's very nice.,Phrase,1/4 -
Gute Reise!,Have a good trip!,Phrase,0/4 -
Wie geht es Ihnen?,How are you?,Phrase,0/4 -
Darf ich vorstellen?,May I introduce?,Phrase,3/4 -
Freut mich.,Pleased to meet you.,Phrase,2/4 -
Angenehm.,Pleasant.,Phrase,0/4 -
Woher kommen Sie?,Where do you come from?,Phrase,2/4 -
Ich komme aus Großbritannien.,I come from the UK.,Phrase,0/6 -
